district,Female_Literate,TOTAL POULATION,gdp_per_capita,Average days of employment provided per Household,pct_villages_all_weather_road,upi_txn_volume,upi_missing_flag,avg_monthly_income
kupwara,156831,875564.0,58.42857142857143,17.0,1.2298624754420433,46637.0,0,41679.37875904172
kupwara,156831,875564.0,58.42857142857143,17.0,1.2298624754420433,65813.0,0,77221.51260244704
kupwara,156831,875564.0,58.42857142857143,17.0,1.2298624754420433,75719.0,0,50821.520500198065
kupwara,156831,875564.0,58.42857142857143,17.0,1.2298624754420433,35301.0,0,69809.88285211902
kupwara,156831,875564.0,58.42857142857143,17.0,1.2298624754420433,29357.0,0,46518.62862373088
kupwara,156831,875564.0,58.42857142857143,17.0,1.2298624754420433,114772.0,0,5000.0
kupwara,156831,875564.0,58.42857142857143,17.0,1.2298624754420433,157369.0,0,67683.89124132608
kupwara,156831,875564.0,58.42857142857143,17.0,1.2298624754420433,303474.0,0,58252.663292954334
kupwara,156831,875564.0,58.42857142857143,17.0,1.2298624754420433,287414.0,0,55869.917124212414
kupwara,156831,875564.0,58.42857142857143,17.0,1.2298624754420433,408584.0,0,64233.41313225053
kupwara,156831,875564.0,58.42857142857143,17.0,1.2298624754420433,477130.0,0,83561.08846089672
kupwara,156831,875564.0,58.42857142857143,17.0,1.2298624754420433,597802.0,0,80332.143391783
kupwara,156831,875564.0,58.42857142857143,17.0,1.2298624754420433,654488.0,0,42286.03280571912
kupwara,156831,875564.0,58.42857142857143,17.0,1.2298624754420433,975579.0,0,38101.28103385579
kupwara,156831,875564.0,58.42857142857143,17.0,1.2298624754420433,1028821.0,0,90619.56745722068
kupwara,156831,875564.0,58.42857142857143,17.0,1.2298624754420433,1219778.0,0,59090.83249050245
badgam,127908,735753.0,58.42857142857143,23.0,1.1814595660749507,1047786.5,1,52365.73333962467
leh(ladakh),30936,1698560.0,58.42857142857143,31.0,1.2838878674801244,1047786.5,1,37577.69432336862
kargil,29935,143388.0,58.42857142857143,18.0,1.3676470588235294,1244.0,0,26788.507161872833
kargil,29935,143388.0,58.42857142857143,18.0,1.3676470588235294,4041.0,0,32525.694109014068
kargil,29935,143388.0,58.42857142857143,18.0,1.3676470588235294,6149.0,0,70835.53145547872
kargil,29935,143388.0,58.42857142857143,18.0,1.3676470588235294,8373.0,0,52465.88621493559
